year,asylum region,origin region,refugees
1960,Middle Africa,Middle Africa,150000
1961,Eastern Africa,Eastern Africa,94000
1961,Middle Africa,Middle Africa,150000
1961,Middle Africa,Eastern Africa,53000
1961,Western Africa,Western Africa,5000
1962,Eastern Africa,Eastern Africa,94000
1962,Middle Africa,Middle Africa,170000
1962,Middle Africa,Eastern Africa,53000
1962,Western Africa,Western Africa,5000
1963,Eastern Africa,Eastern Africa,100000
1963,Middle Africa,Middle Africa,175000
1963,Middle Africa,Eastern Africa,54000
1963,Middle Africa,Northern Africa,8000
1963,Western Africa,Western Africa,11000
1963,Eastern Africa,Northern Africa,5000
1964,Eastern Africa,Middle Africa,55700
1964,Eastern Africa,Eastern Africa,148300
1964,Middle Africa,Middle Africa,203000
1964,Middle Africa,Northern Africa,8300
1964,Middle Africa,Eastern Africa,28000
1964,Northern Africa,Southern Europe,100
1964,Northern Africa,Western Asia,170
1964,Northern Africa,Eastern Europe,120
1964,Eastern Asia,Eastern Asia,1200000
1964,Southern Asia,Eastern Asia,51000
1964,South-eastern Asia,South-eastern Asia,10000
1964,Western Africa,Western Africa,35000
1964,Eastern Africa,Northern Africa,12000
1965,Eastern Africa,Middle Africa,44000
1965,Eastern Africa,Eastern Africa,150900
1965,Middle Africa,Middle Africa,223000
1965,Middle Africa,Northern Africa,37560
1965,Middle Africa,Eastern Africa,25000
1965,Eastern Asia,Eastern Asia,1330000
1965,Southern Asia,Eastern Asia,52000
1965,South-eastern Asia,South-eastern Asia,15000
1965,Western Africa,Western Africa,55000
1965,Southern Europe,Southern Europe,22550
1965,Southern Europe,Eastern Europe,3270
1965,Eastern Africa,Northern Africa,44000
1966,Eastern Africa,Middle Africa,62600
1966,Eastern Africa,Eastern Africa,156700
1966,Southern Asia,Eastern Asia,55000
1966,Middle Africa,Middle Africa,316000
1966,Middle Africa,Northern Africa,60000
1966,Middle Africa,Eastern Africa,24100
1966,Southern Europe,Southern Europe,11950
1966,Eastern Asia,Eastern Asia,1323810
1966,South-eastern Asia,South-eastern Asia,17000
1966,Western Africa,Western Africa,61350
1966,Southern Europe,Eastern Europe,21240
1966,Eastern Africa,Northern Africa,55000
1966,Eastern Africa,Southern Africa,570
1967,Eastern Africa,Middle Africa,66920
1967,Eastern Africa,Eastern Africa,164180
1967,Middle Africa,Middle Africa,364000
1967,Middle Africa,Northern Africa,61000
1967,Middle Africa,Eastern Africa,24100
1967,Southern Europe,Southern Europe,27680
1967,Southern Asia,Eastern Asia,57180
1967,South-eastern Asia,South-eastern Asia,20000
1967,Eastern Asia,Eastern Asia,74000
1967,Northern Africa,Middle Africa,4400
1967,Northern Africa,Eastern Africa,28600
1967,Western Africa,Western Africa,59820
1967,Southern Europe,Eastern Europe,3270
1967,Eastern Africa,Northern Africa,59990
1967,Eastern Africa,Southern Africa,680
1968,Eastern Africa,Middle Africa,63260
1968,Eastern Africa,Eastern Africa,169890
1968,Southern Africa,Middle Africa,3460
1968,Southern Africa,Western Africa,120
1968,Southern Africa,Southern Africa,400
1968,Middle Africa,Middle Africa,375000
1968,Middle Africa,Northern Africa,84000
1968,Middle Africa,Eastern Africa,39100
1968,Western Asia,Western Asia,4100
1968,Eastern Africa,Northern Africa,91500
1968,Middle Africa,Western Africa,40000
1968,Southern Europe,Southern Europe,25940
1968,Southern Asia,Eastern Asia,62730
1968,South-eastern Asia,South-eastern Asia,22000
1968,Eastern Asia,Eastern Asia,70000
1968,Northern Africa,Middle Africa,7300
1968,Northern Africa,Eastern Africa,31000
1968,Western Africa,Western Africa,57150
1968,Southern Europe,Eastern Europe,3270
1968,Eastern Africa,Southern Africa,1670
1969,Eastern Africa,Middle Africa,53270
1969,Eastern Africa,Eastern Africa,164240
1969,Western Africa,Western Africa,71050
1969,Middle Africa,Middle Africa,403100
1969,Middle Africa,Northern Africa,78900
1969,Middle Africa,Eastern Africa,37000
1969,Western Asia,Western Asia,4100
1969,Eastern Africa,Northern Africa,91500
1969,Southern Europe,Southern Europe,25510
1969,Southern Asia,Eastern Asia,64140
1969,South-eastern Asia,South-eastern Asia,22000
1969,Eastern Asia,Eastern Asia,65000
1969,Northern Africa,Middle Africa,6350
1969,Northern Africa,Eastern Africa,31000
1969,Southern Europe,Eastern Europe,3270
1969,Western Asia,Southern Europe,500
1969,Western Asia,Eastern Europe,180
1969,South America,Caribbean,14500
1969,Eastern Africa,Southern Africa,1130
1970,Eastern Africa,Middle Africa,52490
1970,Eastern Africa,Eastern Africa,178370
1970,Southern Africa,Middle Africa,4210
1970,Middle Africa,Middle Africa,404480
1970,Middle Africa,Northern Africa,77670
1970,Middle Africa,Eastern Africa,33000
1970,Western Asia,Western Asia,200
1970,Eastern Africa,Northern Africa,95290
1970,Southern Europe,Southern Europe,25210
1970,Southern Europe,Eastern Europe,3320
1970,Southern Asia,Eastern Asia,64560
1970,Eastern Africa,Southern Africa,1240
1970,South-eastern Asia,South-eastern Asia,20000
1970,Southern Africa,Southern Africa,120
1970,Eastern Asia,Eastern Asia,66000
1970,Northern Africa,Eastern Europe,520
1970,Northern Africa,Southern Europe,680
1970,Central America,Caribbean,2200
1970,South America,South America,1400
1970,Northern Africa,Middle Africa,6490
1970,Northern Africa,Eastern Africa,54350
1970,Western Africa,Western Africa,67060
1970,Western Asia,Southern Europe,540
1970,Western Asia,Eastern Europe,460
1970,South America,Caribbean,14500
1971,South America,South America,4930
1971,Eastern Africa,Eastern Africa,178790
1971,South America,Caribbean,52300
1971,Southern Africa,Middle Africa,8690
1971,Southern Africa,Southern Africa,390
1971,Middle Africa,Middle Africa,404700
1971,Middle Africa,Northern Africa,73300
1971,Western Africa,Western Africa,80300
1971,Middle Africa,Eastern Africa,24250
1971,Western Asia,Western Asia,570
1971,Northern Africa,Western Asia,3500
1971,Northern Africa,Eastern Africa,55200
1971,Northern Africa,Southern Africa,120
1971,Eastern Africa,Northern Africa,97970
1971,Southern Europe,Southern Europe,1480
1971,Southern Asia,Eastern Asia,64110
1971,Eastern Africa,Southern Africa,1300
1971,Western Africa,Northern Africa,60
1971,Eastern Asia,Eastern Asia,70000
1971,Northern Africa,Eastern Europe,510
1971,Northern Africa,Southern Europe,670
1971,Central America,Caribbean,2200
1971,Northern Africa,Middle Africa,5000
1971,Western Asia,Southern Europe,530
1971,Western Asia,Eastern Europe,490
1971,Eastern Africa,Middle Africa,46170
1971,South-eastern Asia,South-eastern Asia,57000
1972,South America,South America,3730
1972,Eastern Africa,Middle Africa,53000
1972,Eastern Africa,Eastern Africa,288800
1972,South America,Caribbean,14250
1972,Southern Africa,Middle Africa,4300
1972,Southern Africa,Southern Africa,210
1972,Middle Africa,Middle Africa,405000
1972,Middle Africa,Northern Africa,52970
1972,Middle Africa,Eastern Africa,59250
1972,Central America,Caribbean,2820
1972,Western Asia,Western Asia,250
1972,Northern Africa,Western Asia,3500
1972,Northern Africa,Eastern Africa,44640
1972,Northern Africa,Southern Africa,130
