war_name,year,country_abbr,country_name,region,country_lat,country_long,war_type
Assam,1962,IN,India,Southern Asia,20.593684,78.96288,inter
"Vietnam War, Phase 2",1965,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1966,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1967,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1968,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1969,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1970,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1971,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1972,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1973,US,United States,Northern America,37.09024,-95.712891,inter
"Vietnam War, Phase 2",1970,KH,Cambodia,South-eastern Asia,12.565679,104.990963,inter
"Vietnam War, Phase 2",1971,KH,Cambodia,South-eastern Asia,12.565679,104.990963,inter
"Vietnam War, Phase 2",1972,KH,Cambodia,South-eastern Asia,12.565679,104.990963,inter
"Vietnam War, Phase 2",1973,KH,Cambodia,South-eastern Asia,12.565679,104.990963,inter
"Vietnam War, Phase 2",1974,KH,Cambodia,South-eastern Asia,12.565679,104.990963,inter
"Vietnam War, Phase 2",1975,KH,Cambodia,South-eastern Asia,12.565679,104.990963,inter
"Vietnam War, Phase 2",1965,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1966,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1967,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1968,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1969,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1970,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1971,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1972,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1973,KR,South Korea,Eastern Asia,35.907757,127.766922,inter
"Vietnam War, Phase 2",1966,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1967,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1968,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1969,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1970,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1971,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1972,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1973,PH,Philippines,South-eastern Asia,12.879721,121.774017,inter
"Vietnam War, Phase 2",1965,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1966,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1967,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1968,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1969,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1970,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1971,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1972,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
"Vietnam War, Phase 2",1973,VN,Vietnam,South-eastern Asia,14.058324,108.277199,inter
